flow (l/min/cell), pressure drop (mbar)
0.0, 0.0
0.2002844950213371, 74.28571428571428
0.2480796586059744, 91.42857142857142
0.29928876244665714, 113.33333333333333
0.34822190611664305, 139.04761904761904
0.39943100995732583, 167.61904761904762
0.44836415362731163, 196.19047619047618
0.49843527738264587, 224.76190476190476
0.5485064011379802, 254.28571428571428
0.5985775248933145, 287.6190476190476
0.6486486486486487, 322.85714285714283
0.6975817923186346, 356.19047619047615
0.7487908961593174, 381.90476190476187
